"checking_status","duration","credit_history","loan_purpose","credit_amount","savings_status","employment","installment_commitment","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","credit_class","gender","credit_class_binary"
"<0",16,"delayed previously","education",2579,"500<=X<1000","<1",4,"none",3,"real estate",37,"bank","own",1,"unskilled resident",1,0,1,"bad",0,0
"0<=X<200",12,"existing paid","Consumer goods",1922,"<100","1<=X<4",2.8,"none",2,"life insurance",37,"stores","own",1,"unskilled resident",0,0,1,"bad",0,0
"0<=X<200",47,"existing paid","education",7011,"<100","4<=X<7",4,"none",4,"life insurance",37,"stores","for free",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",13,"no credits/all paid","retraining",5136,"<100","<1",2.27,"none",4,"life insurance",68,"bank","for free",1,"high qualified",1,0,1,"bad",1,0
"<0",24,"existing paid","Consumer goods",1938,"<100","<1",4,"none",3,"life insurance",32,"stores","own",1,"skilled",0,0,1,"bad",0,0
"<0",18,"existing paid","Consumer goods",4153,"<100","1<=X<4",2,"co applicant",3,"car",42,"stores","own",1,"skilled",0,0,1,"bad",0,0
"<0",14,"existing paid","retraining",3380,"<100",">=7",3.64,"none",4,"life insurance",36,"stores","for free",1,"high qualified",0,1,1,"bad",0,0
">=200",30,"existing paid","Consumer goods",3347,"<100","4<=X<7",4,"none",2,"car",33,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"<0",41,"no credits/all paid","Consumer goods",6855,"<100","<1",2.48,"none",2,"life insurance",59,"bank","own",1,"skilled",0,1,1,"bad",0,0
"<0",43,"existing paid","Consumer goods",7145,">=1000","4<=X<7",3.51,"guarantor",3,"car",31,"stores","own",1,"high qualified",0,1,1,"bad",1,0
"<0",21,"no credits/all paid","Car Purchase",1647,"<100","1<=X<4",4,"none",2,"life insurance",40,"stores","own",2,"unskilled resident",1,0,1,"bad",0,0
"0<=X<200",24,"existing paid","Car Purchase",4113,"500<=X<1000","<1",3,"none",4,"car",28,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",36,"no credits/all paid","business",1953,"<100",">=7",4,"none",4,"no known property",61,"stores","for free",1,"high qualified",0,1,1,"bad",0,0
"0<=X<200",28,"existing paid","repairs",11849,"<100","4<=X<7",1,"none",2,"life insurance",30,"stores","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",12,"existing paid","Car Purchase",685,"<100","4<=X<7",2,"none",3,"car",25,"bank","own",1,"unskilled resident",0,0,1,"bad",0,0
"<0",18,"existing paid","Car Purchase",1216,"<100","<1",4,"none",3,"car",23,"stores","rent",1,"skilled",0,1,1,"bad",1,0
"0<=X<200",11,"existing paid","Consumer goods",904,">=1000","1<=X<4",4,"none",2,"car",24,"stores","own",1,"skilled",0,0,1,"bad",0,0
"no checking",26,"delayed previously","Car Purchase",2562,"<100","1<=X<4",3.25,"none",3,"no known property",28,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",26,"existing paid","Car Purchase",2427,"<100","4<=X<7",4,"none",4,"real estate",31,"stores","own",1,"skilled",0,0,1,"bad",1,0
">=200",21,"delayed previously","other",3593,"100<=X<500","<1",2.23,"guarantor",4,"car",31,"stores","own",2,"skilled",0,0,1,"bad",0,0
"<0",24,"existing paid","Car Purchase",3123,"<100","<1",4,"none",1,"life insurance",27,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",36,"delayed previously","other",9352,"<100","4<=X<7",2.45,"none",2,"car",24,"stores","own",1,"skilled",0,1,1,"bad",0,0
"0<=X<200",23,"critical/order existing credit","other",1215,"100<=X<500","<1",4,"none",4,"life insurance",39,"bank","own",2,"high qualified",1,0,1,"bad",0,0
"<0",28,"existing paid","Consumer goods",3346,"<100","<1",3.68,"none",2,"car",35,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"0<=X<200",31,"delayed previously","education",11871,"<100","4<=X<7",2,"guarantor",4,"car",34,"stores","own",2,"high qualified",0,0,1,"bad",0,0
"<0",12,"existing paid","Car Purchase",1274,"<100","<1",3,"none",1,"real estate",37,"stores","own",1,"unskilled resident",0,0,1,"bad",1,0
"0<=X<200",24,"existing paid","retraining",11567,"<100","1<=X<4",1,"none",4,"car",23,"stores","own",2,"high qualified",0,0,1,"bad",1,0
"0<=X<200",22,"delayed previously","Car Purchase",1251,"500<=X<1000","4<=X<7",3.48,"none",2,"no known property",24,"stores","own",1,"unemp/unskilled non res",0,0,1,"bad",0,0
"0<=X<200",48,"existing paid","retraining",10279,"<100","4<=X<7",3.84,"none",4,"life insurance",38,"stores","for free",3,"skilled",1,1,1,"bad",0,0
"<0",12,"delayed previously","Car Purchase",762,"<100","4<=X<7",4,"none",2,"no known property",27,"bank","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",28,"existing paid","other",3085,"100<=X<500","4<=X<7",3,"none",2,"car",28,"stores","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",6,"existing paid","Car Purchase",14896,"100<=X<500",">=7",1,"none",4,"no known property",68,"bank","own",1,"high qualified",0,1,1,"bad",0,0
"<0",17,"no credits/all paid","Consumer goods",1195,"<100",">=7",2.23,"co applicant",4,"no known property",31,"stores","own",2,"skilled",0,0,1,"bad",1,0
"<0",24,"no credits/all paid","education",3552,"<100","4<=X<7",3,"none",4,"car",27,"bank","own",1,"skilled",0,0,1,"bad",0,0
">=200",18,"existing paid","Consumer goods",2864,"<100","1<=X<4",2,"none",1,"real estate",34,"stores","own",1,"unskilled resident",1,0,1,"bad",0,0
">=200",35,"delayed previously","Consumer goods",3350,"<100","1<=X<4",3.92,"none",2,"car",28,"stores","own",1,"high qualified",0,1,1,"bad",1,0
"<0",18,"existing paid","Consumer goods",2600,"<100","1<=X<4",4,"none",4,"no known property",65,"stores","for free",2,"skilled",0,0,1,"bad",0,0
"<0",12,"no credits/all paid","Consumer goods",6199,"<100","1<=X<4",4,"none",2,"life insurance",28,"stores","rent",2,"skilled",0,1,1,"bad",0,0
"0<=X<200",18,"critical/order existing credit","Consumer goods",1245,"<100","1<=X<4",4,"none",2,"car",33,"stores","own",1,"skilled",0,0,1,"bad",0,0
"<0",12,"existing paid","Consumer goods",2246,"<100",">=7",3,"none",3,"life insurance",60,"stores","own",2,"skilled",0,0,1,"bad",0,0
">=200",10,"existing paid","Car Purchase",1240,"100<=X<500",">=7",1,"none",4,"no known property",48,"stores","for free",1,"unskilled resident",1,0,1,"bad",1,0
">=200",48,"critical/order existing credit","Car Purchase",10160,"500<=X<1000","1<=X<4",2.39,"none",2,"no known property",43,"bank","for free",1,"skilled",0,0,1,"bad",0,0
"<0",18,"existing paid","Consumer goods",2006,"<100","unemployed",4,"none",3,"car",36,"stores","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",11,"existing paid","Consumer goods",955,"<100","4<=X<7",2.19,"none",2,"car",31,"stores","own",1,"skilled",0,0,0,"bad",0,0
"<0",24,"delayed previously","Consumer goods",3125,"<100","4<=X<7",4,"none",1,"life insurance",27,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",12,"critical/order existing credit","Consumer goods",2240,"<100","<1",2.83,"none",3,"life insurance",54,"bank","own",2,"skilled",0,0,1,"bad",0,0
"<0",38,"critical/order existing credit","Consumer goods",4290,"500<=X<1000","1<=X<4",1.69,"none",4,"car",23,"stores","own",2,"skilled",0,0,1,"bad",1,0
"<0",24,"critical/order existing credit","Car Purchase",3575,"500<=X<1000","4<=X<7",2.66,"none",4,"car",28,"bank","own",1,"skilled",0,0,1,"bad",0,0
"<0",24,"no credits/all paid","Consumer goods",1546,"<100","4<=X<7",4,"guarantor",4,"car",24,"bank","rent",1,"unskilled resident",0,0,1,"bad",0,0
"0<=X<200",36,"no credits/all paid","business",1953,"<100",">=7",4,"none",4,"no known property",61,"stores","for free",1,"high qualified",0,1,1,"bad",0,0
"0<=X<200",11,"existing paid","Car Purchase",679,"<100","1<=X<4",2.4,"none",3,"car",26,"bank","own",1,"unskilled resident",0,0,1,"bad",0,0
"<0",14,"critical/order existing credit","Consumer goods",1516,"<100","4<=X<7",2.5,"none",2,"car",33,"bank","own",2,"high qualified",0,0,1,"bad",0,0
"0<=X<200",12,"existing paid","Car Purchase",1223,"<100",">=7",1,"none",1,"real estate",46,"stores","rent",2,"skilled",0,0,1,"bad",0,0
"0<=X<200",34,"critical/order existing credit","Consumer goods",8165,"100<=X<500","<1",2,"none",3,"car",44,"stores","own",3,"high qualified",0,0,1,"bad",0,0
">=200",18,"critical/order existing credit","Consumer goods",2775,"500<=X<1000","4<=X<7",2.04,"none",2,"car",32,"bank","own",2,"skilled",0,0,1,"bad",0,0
"<0",18,"existing paid","Consumer goods",1217,"<100","1<=X<4",4,"none",3,"real estate",47,"stores","own",1,"unskilled resident",0,1,1,"bad",0,0
"0<=X<200",43,"existing paid","other",3069,"<100","4<=X<7",3.49,"none",4,"no known property",28,"stores","own",2,"skilled",0,0,1,"bad",0,0
"0<=X<200",16,"no credits/all paid","Car Purchase",1453,"<100","1<=X<4",3.46,"none",3,"no known property",30,"stores","for free",2,"unemp/unskilled non res",1,0,1,"bad",0,0
"<0",45,"no credits/all paid","business",11816,"<100",">=7",2,"none",4,"car",29,"stores","rent",2,"skilled",0,0,1,"bad",0,0
"0<=X<200",15,"no credits/all paid","Car Purchase",6850,"100<=X<500","unemployed",1,"none",2,"life insurance",34,"stores","own",1,"high qualified",1,1,1,"bad",0,0
"<0",24,"existing paid","Consumer goods",2359,"100<=X<500","unemployed",1,"none",1,"life insurance",33,"stores","own",1,"skilled",0,0,1,"bad",0,0
"<0",14,"existing paid","Car Purchase",733,"100<=X<500","<1",4,"none",2,"no known property",31,"stores","own",1,"unemp/unskilled non res",0,0,1,"bad",0,0
"0<=X<200",48,"existing paid","Consumer goods",10155,"<100","4<=X<7",2.74,"none",3,"life insurance",34,"stores","for free",2,"skilled",1,1,1,"bad",0,0
"<0",18,"existing paid","Consumer goods",2006,"<100","unemployed",4,"none",2,"car",33,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",42,"existing paid","Consumer goods",7174,"<100","4<=X<7",4,"none",3,"car",30,"stores","own",1,"high qualified",0,1,1,"bad",1,0
"<0",28,"existing paid","Consumer goods",3346,"<100","<1",4,"none",2,"car",35,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"0<=X<200",52,"delayed previously","Consumer goods",15381,"500<=X<1000","1<=X<4",2.33,"none",3,"car",35,"bank","for free",1,"high qualified",0,1,1,"bad",0,0
"<0",18,"existing paid","Consumer goods",1345,"<100","1<=X<4",4,"none",3,"real estate",26,"bank","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",24,"existing paid","retraining",12580,"500<=X<1000","<1",3.95,"none",2,"no known property",44,"stores","for free",1,"high qualified",0,1,1,"bad",1,0
"0<=X<200",48,"no credits/all paid","other",18424,"<100","1<=X<4",1,"none",2,"no known property",32,"bank","own",1,"high qualified",0,1,0,"bad",1,0
"0<=X<200",32,"critical/order existing credit","other",8366,"<100","4<=X<7",2.4,"none",3,"life insurance",48,"stores","for free",1,"skilled",0,0,1,"bad",0,0
"<0",18,"existing paid","Car Purchase",7511,"<100",">=7",1,"none",4,"life insurance",51,"stores","for free",1,"skilled",1,1,1,"bad",0,0
">=200",18,"delayed previously","Consumer goods",2580,"500<=X<1000","<1",4,"none",2,"real estate",38,"bank","own",1,"unskilled resident",1,0,1,"bad",0,0
"<0",12,"existing paid","education",795,"<100","<1",4,"none",4,"life insurance",53,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",26,"existing paid","Consumer goods",2374,"100<=X<500",">=7",1.93,"none",2,"life insurance",30,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",12,"existing paid","Consumer goods",1282,"<100","1<=X<4",2.06,"none",4,"car",21,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",28,"existing paid","Consumer goods",4822,"<100","4<=X<7",2.18,"co applicant",3,"car",31,"bank","own",1,"high qualified",0,1,1,"bad",0,0
"0<=X<200",12,"existing paid","Consumer goods",891,"<100","<1",4,"none",4,"car",40,"bank","own",1,"unemp/unskilled non res",1,0,1,"bad",0,0
"0<=X<200",40,"existing paid","Car Purchase",14220,"<100","<1",2.9,"none",2,"life insurance",26,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"0<=X<200",30,"critical/order existing credit","Car Purchase",5234,"<100","unemployed",4,"none",2,"car",28,"stores","own",2,"high qualified",0,0,1,"bad",0,0
"<0",29,"existing paid","Consumer goods",2409,"<100","4<=X<7",4,"none",4,"real estate",24,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",12,"existing paid","Car Purchase",759,"<100","4<=X<7",4,"none",2,"real estate",26,"stores","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",39,"existing paid","education",6330,">=1000","<1",4,"none",4,"life insurance",34,"stores","for free",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",24,"critical/order existing credit","Consumer goods",4774,"<100","4<=X<7",2,"guarantor",4,"car",28,"bank","own",1,"unemp/unskilled non res",0,0,1,"bad",0,0
"<0",48,"existing paid","Consumer goods",3928,"<100","1<=X<4",4,"none",4,"no known property",44,"bank","for free",1,"skilled",1,0,1,"bad",0,0
"<0",36,"existing paid","Consumer goods",2302,"<100","4<=X<7",4,"none",4,"car",31,"stores","rent",1,"skilled",0,0,1,"bad",0,0
"<0",24,"no credits/all paid","Car Purchase",1193,"<100","unemployed",1,"co applicant",4,"no known property",29,"stores","rent",2,"unemp/unskilled non res",0,0,1,"bad",1,0
"<0",44,"existing paid","repairs",4603,"<100","<1",2.84,"none",4,"life insurance",29,"stores","for free",2,"high qualified",1,0,1,"bad",0,0
"<0",30,"existing paid","Car Purchase",4000,"<100","1<=X<4",3.15,"none",2,"car",43,"stores","own",1,"unemp/unskilled non res",0,0,1,"bad",0,0
"no checking",24,"existing paid","Consumer goods",1824,"<100",">=7",3.9,"none",2,"car",30,"stores","own",1,"high qualified",1,0,1,"bad",0,0
"0<=X<200",19,"delayed previously","Car Purchase",1332,"<100",">=7",3.23,"none",2,"life insurance",35,"stores","for free",2,"skilled",1,0,1,"bad",0,0
"<0",21,"existing paid","Car Purchase",1381,">=1000","1<=X<4",3.81,"none",2,"life insurance",34,"stores","own",1,"skilled",0,0,1,"bad",1,0
"no checking",10,"existing paid","Car Purchase",1309,"100<=X<500","1<=X<4",4,"guarantor",3,"life insurance",27,"stores","own",1,"unskilled resident",0,0,1,"bad",0,0
"no checking",48,"existing paid","business",3914,">=1000","1<=X<4",4,"none",2,"real estate",38,"bank","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",48,"existing paid","Consumer goods",10961,">=1000","4<=X<7",1,"co applicant",2,"no known property",27,"bank","own",2,"skilled",0,1,1,"bad",0,0
">=200",46,"existing paid","business",3899,">=1000","1<=X<4",4,"none",2,"no known property",39,"bank","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",32,"critical/order existing credit","other",8366,"<100","4<=X<7",2.4,"none",3,"life insurance",48,"stores","for free",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",12,"delayed previously","Car Purchase",675,"<100","1<=X<4",2.34,"none",3,"car",25,"bank","own",1,"unskilled resident",0,0,1,"bad",0,0
"0<=X<200",21,"critical/order existing credit","other",2543,"500<=X<1000","1<=X<4",2.98,"none",2,"life insurance",27,"stores","own",2,"unskilled resident",0,0,1,"bad",0,0
"<0",23,"existing paid","Car Purchase",1381,">=1000","1<=X<4",3.81,"none",2,"life insurance",34,"stores","own",1,"skilled",0,0,1,"bad",1,0
">=200",18,"existing paid","Consumer goods",2100,"<100","1<=X<4",4,"co applicant",2,"real estate",37,"stores","own",1,"skilled",0,0,1,"bad",0,0
"<0",12,"existing paid","Consumer goods",7865,"<100",">=7",4,"none",4,"no known property",53,"stores","for free",1,"high qualified",0,1,1,"bad",0,0
"<0",24,"existing paid","Car Purchase",1285,"<100","4<=X<7",4,"none",4,"no known property",32,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"<0",24,"delayed previously","Car Purchase",1333,"<100","unemployed",4,"none",2,"real estate",43,"stores","for free",2,"skilled",1,0,1,"bad",0,0
"0<=X<200",24,"existing paid","Consumer goods",3927,"<100","1<=X<4",2.96,"none",2,"car",34,"stores","own",1,"skilled",1,1,1,"bad",0,0
">=200",30,"existing paid","Consumer goods",3347,"<100","4<=X<7",4,"none",2,"car",33,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"0<=X<200",46,"existing paid","Car Purchase",3906,"<100","1<=X<4",4,"none",3,"life insurance",45,"stores","for free",1,"skilled",1,0,1,"bad",0,0
">=200",17,"critical/order existing credit","Consumer goods",1551,"<100","<1",4,"guarantor",4,"life insurance",43,"bank","for free",2,"skilled",1,0,1,"bad",0,0
"no checking",40,"existing paid","Car Purchase",14265,"<100","<1",4,"none",2,"no known property",51,"stores","for free",1,"high qualified",0,1,1,"bad",0,0
">=200",19,"no credits/all paid","business",4156,"<100","1<=X<4",2.16,"none",2,"car",34,"stores","own",2,"skilled",1,0,1,"bad",0,0
"<0",48,"existing paid","Consumer goods",3051,"<100","1<=X<4",3,"none",4,"car",54,"stores","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",11,"existing paid","Car Purchase",2133,"<100","1<=X<4",2.4,"none",3,"car",26,"bank","own",1,"unskilled resident",0,0,1,"bad",0,0
"0<=X<200",14,"critical/order existing credit","Consumer goods",1272,"100<=X<500","1<=X<4",2,"none",3,"car",23,"stores","rent",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",35,"existing paid","business",4288,"100<=X<500","1<=X<4",3.71,"none",4,"car",25,"stores","rent",2,"unemp/unskilled non res",0,0,1,"bad",1,0
"0<=X<200",18,"existing paid","Car Purchase",12976,"<100","unemployed",3,"none",4,"no known property",38,"stores","for free",1,"high qualified",0,1,1,"bad",1,0
"<0",24,"existing paid","Car Purchase",1285,"100<=X<500","4<=X<7",4,"none",4,"no known property",32,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"<0",18,"existing paid","Consumer goods",1882,"<100","1<=X<4",4,"none",4,"car",25,"bank","rent",2,"skilled",0,0,1,"bad",1,0
">=200",12,"existing paid","education",719,"<100","<1",4,"none",4,"car",41,"bank","own",1,"unskilled resident",1,0,1,"bad",0,0
"<0",18,"no credits/all paid","Car Purchase",1442,"<100","4<=X<7",4,"none",4,"no known property",32,"stores","for free",2,"unskilled resident",1,0,1,"bad",0,0
"0<=X<200",12,"existing paid","Consumer goods",1230,"<100","1<=X<4",3.35,"none",4,"life insurance",32,"stores","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",45,"existing paid","Consumer goods",3031,"100<=X<500","1<=X<4",4,"guarantor",4,"life insurance",21,"stores","rent",1,"skilled",0,0,1,"bad",0,0
"no checking",21,"no credits/all paid","Car Purchase",1647,"<100","1<=X<4",4,"none",2,"life insurance",40,"stores","own",1,"unskilled resident",1,0,1,"bad",0,0
"0<=X<200",40,"existing paid","Car Purchase",14220,"<100","<1",2.9,"none",2,"life insurance",26,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"<0",14,"existing paid","Car Purchase",1224,"<100","1<=X<4",4,"none",2,"life insurance",24,"stores","own",1,"unemp/unskilled non res",0,0,1,"bad",0,0
"0<=X<200",24,"existing paid","Car Purchase",1246,"<100","<1",4,"none",2,"real estate",23,"stores","own",1,"unskilled resident",0,0,1,"bad",0,0
"<0",42,"existing paid","Consumer goods",3965,"<100","<1",4,"none",3,"car",34,"stores","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",34,"delayed previously","Car Purchase",4485,"<100","1<=X<4",3.66,"none",2,"car",31,"stores","own",2,"high qualified",0,1,1,"bad",0,0
"<0",12,"delayed previously","Car Purchase",2126,"<100","4<=X<7",4,"none",2,"no known property",27,"bank","own",1,"skilled",0,0,1,"bad",0,0
"<0",23,"critical/order existing credit","other",1654,"<100","4<=X<7",4,"none",2,"car",34,"stores","own",1,"unskilled resident",0,0,1,"bad",0,0
"<0",15,"existing paid","Consumer goods",2814,"<100","4<=X<7",1.51,"none",1,"no known property",30,"bank","own",1,"unemp/unskilled non res",1,0,1,"bad",0,0
"<0",12,"existing paid","Consumer goods",7865,">=1000","4<=X<7",4,"none",4,"no known property",53,"stores","for free",1,"high qualified",0,1,1,"bad",0,0
"<0",48,"no credits/all paid","Consumer goods",7119,"<100","1<=X<4",3,"none",4,"no known property",53,"stores","for free",2,"skilled",1,0,1,"bad",0,0
"<0",12,"existing paid","Car Purchase",1228,"<100","1<=X<4",4,"none",2,"real estate",24,"stores","own",1,"unskilled resident",0,0,1,"bad",1,0
"0<=X<200",30,"critical/order existing credit","Car Purchase",5234,"<100","unemployed",4,"none",2,"car",28,"stores","own",2,"high qualified",0,0,1,"bad",0,0
"0<=X<200",18,"critical/order existing credit","Consumer goods",1928,"<100","<1",2,"none",2,"real estate",31,"stores","own",2,"unskilled resident",0,0,1,"bad",0,0
">=200",12,"no credits/all paid","business",609,"<100","<1",4,"none",1,"real estate",26,"stores","own",1,"unemp/unskilled non res",0,0,1,"bad",1,0
"<0",24,"existing paid","Consumer goods",1938,"<100","<1",4,"none",3,"life insurance",32,"stores","own",1,"skilled",0,0,1,"bad",0,0
"<0",24,"existing paid","Consumer goods",4111,"<100","<1",2.97,"guarantor",4,"life insurance",24,"bank","own",2,"skilled",1,0,1,"bad",0,0
">=200",18,"critical/order existing credit","Consumer goods",1551,"<100","<1",4,"guarantor",4,"life insurance",40,"bank","for free",2,"skilled",1,0,1,"bad",0,0
"0<=X<200",11,"no credits/all paid","retraining",5134,"<100","<1",2.18,"none",4,"life insurance",70,"bank","for free",1,"high qualified",1,0,1,"bad",1,0
">=200",32,"existing paid","Car Purchase",6760,">=1000","1<=X<4",2.46,"none",3,"car",51,"stores","own",2,"skilled",0,0,1,"bad",0,0
"0<=X<200",48,"existing paid","business",15672,"<100","1<=X<4",2,"none",2,"car",23,"stores","own",1,"skilled",0,1,1,"bad",0,0
"0<=X<200",19,"critical/order existing credit","other",1219,"100<=X<500","<1",2.77,"none",3,"no known property",30,"bank","own",2,"skilled",0,0,1,"bad",0,0
"0<=X<200",19,"delayed previously","Car Purchase",1039,">=1000","1<=X<4",4,"none",2,"life insurance",35,"stores","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",28,"delayed previously","Consumer goods",4260,"500<=X<1000","1<=X<4",1,"none",4,"life insurance",30,"stores","own",3,"unemp/unskilled non res",0,0,1,"bad",0,0
"<0",28,"critical/order existing credit","Car Purchase",12540,"<100","4<=X<7",2.56,"none",4,"no known property",33,"stores","for free",1,"unskilled resident",0,1,1,"bad",0,0
"0<=X<200",17,"existing paid","Car Purchase",1347,"<100","<1",3.47,"none",3,"car",29,"stores","own",1,"skilled",0,1,1,"bad",0,0
"no checking",15,"existing paid","education",3347,"100<=X<500","1<=X<4",3,"none",2,"life insurance",40,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"<0",14,"existing paid","Car Purchase",1534,"<100","<1",3.34,"guarantor",1,"no known property",31,"stores","own",1,"skilled",0,0,1,"bad",0,0
"<0",18,"existing paid","Consumer goods",1217,"<100","1<=X<4",4,"none",3,"real estate",34,"stores","own",1,"unskilled resident",0,1,1,"bad",0,0
"<0",14,"existing paid","Car Purchase",1224,"<100","1<=X<4",4,"none",2,"life insurance",24,"stores","own",1,"unemp/unskilled non res",0,0,1,"bad",1,0
"<0",12,"critical/order existing credit","Consumer goods",1207,"<100","<1",4,"none",3,"car",29,"stores","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"none",4,"real estate",31,"stores","own",2,"skilled",0,1,1,"bad",0,0
"0<=X<200",47,"existing paid","education",6316,"<100","4<=X<7",4,"none",4,"life insurance",37,"stores","for free",1,"skilled",0,0,1,"bad",0,0
"no checking",18,"delayed previously","business",2169,"<100","1<=X<4",4,"none",2,"car",28,"stores","own",1,"skilled",0,1,1,"bad",0,0
"0<=X<200",24,"existing paid","business",4243,"500<=X<1000","1<=X<4",1,"none",4,"no known property",35,"stores","own",3,"unemp/unskilled non res",0,0,1,"bad",0,0
"<0",25,"existing paid","Car Purchase",1285,"100<=X<500","4<=X<7",4,"none",4,"no known property",32,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",15,"delayed previously","repairs",1512,">=1000","1<=X<4",3,"none",3,"life insurance",61,"bank","own",2,"skilled",0,0,1,"bad",0,0
"<0",12,"existing paid","Consumer goods",1282,"<100","1<=X<4",2,"none",4,"car",20,"stores","rent",1,"skilled",0,0,1,"bad",1,0
">=200",46,"critical/order existing credit","retraining",11644,"100<=X<500","1<=X<4",1.87,"none",4,"car",25,"bank","own",2,"unskilled resident",0,0,1,"bad",1,0
"<0",45,"no credits/all paid","business",11816,"<100",">=7",2,"none",4,"car",29,"stores","rent",2,"skilled",0,0,1,"bad",0,0
"0<=X<200",24,"no credits/all paid","business",4241,"<100","1<=X<4",1,"none",4,"real estate",36,"stores","own",3,"unskilled resident",0,1,1,"bad",0,0
"<0",15,"existing paid","Car Purchase",903,"<100","1<=X<4",4,"none",2,"car",24,"bank","own",1,"skilled",0,0,1,"bad",0,0
"<0",24,"no credits/all paid","Car Purchase",1365,"<100","<1",4,"none",3,"car",38,"stores","own",1,"high qualified",0,0,1,"bad",0,0
"0<=X<200",18,"existing paid","Consumer goods",2462,"<100","1<=X<4",2,"none",2,"car",22,"stores","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",19,"delayed previously","Car Purchase",1440,"500<=X<1000","4<=X<7",3.39,"none",4,"car",25,"stores","own",2,"skilled",0,0,1,"bad",1,0
"<0",36,"delayed previously","other",9352,"<100","4<=X<7",2.45,"none",2,"car",24,"stores","own",1,"skilled",0,1,1,"bad",0,0
"no checking",31,"delayed previously","Consumer goods",4521,"<100","1<=X<4",3.09,"none",2,"car",39,"stores","own",2,"high qualified",0,1,1,"bad",0,0
"<0",12,"existing paid","Car Purchase",2579,"<100","<1",4,"none",1,"real estate",33,"stores","own",1,"unskilled resident",1,0,1,"bad",0,0
"0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"none",4,"real estate",31,"stores","own",2,"skilled",0,1,1,"bad",0,0
"<0",23,"existing paid","Consumer goods",1284,"<100","1<=X<4",4,"none",4,"life insurance",31,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"<0",18,"existing paid","Car Purchase",976,"<100","<1",1,"none",2,"car",23,"stores","own",1,"unskilled resident",0,0,1,"bad",1,0
"0<=X<200",52,"delayed previously","Consumer goods",15381,"500<=X<1000","1<=X<4",2.33,"none",3,"car",35,"bank","for free",1,"high qualified",0,1,1,"bad",0,0
"<0",38,"critical/order existing credit","Consumer goods",4290,"500<=X<1000","1<=X<4",1.69,"none",4,"car",23,"stores","own",2,"skilled",0,0,1,"bad",1,0
"0<=X<200",18,"existing paid","Car Purchase",1042,"<100","1<=X<4",4,"none",2,"life insurance",33,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",20,"existing paid","other",3170,"<100","1<=X<4",2.61,"none",2,"no known property",25,"stores","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",19,"delayed previously","Car Purchase",1039,">=1000","1<=X<4",4,"none",2,"life insurance",35,"stores","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",12,"existing paid","Consumer goods",901,">=1000","1<=X<4",4,"none",2,"car",23,"stores","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"none",4,"real estate",31,"stores","own",2,"skilled",0,1,1,"bad",0,0
"0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"none",4,"real estate",31,"stores","own",2,"skilled",0,1,1,"bad",0,0
