"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
">=200",18.0544773350684,"critical/order existing credit","furniture/equipment",2774.85472710648,"500<=X<10000","4<=X<7",2.03631822337894,NA,"none",2,"car",31.5447733506841,"bank","own",2,"skilled",1,"none","yes","bad"
"<0",18,"existing paid","domestic appliance",1217,"<100","1<=X<4",4,"male mar/wid","none",3,"real estate",47,"stores","own",1,"unskilled resident",1,"yes","yes","bad"
"0<=X<200",42.8749266211954,"existing paid","other",3069.22513208185,"<100","4<=X<7",3.48749266211954,"male mar/wid","none",4,"no known property",27.658328441413,"stores",NA,1.82916422070651,"skilled",1,"none","yes","bad"
"0<=X<200",16.3898865317978,"all paid","new car",1453.27079427742,"<100","1<=X<4",3.46329551059928,"male mar/wid","none",3.19494326589892,"no known property",30.1215342870975,"stores","for free",1.73164775529964,"unemp/unskilled non res",1.73164775529964,"none","yes","bad"
"<0",45,"no credits/all paid",NA,11816,"<100",">=7",2,"male single","none",4,"car",29,"stores","rent",2,"skilled",1,"none","yes","bad"
"0<=X<200",15,"all paid","new car",6850,"100<=X<500","unemployed",1,"male single","none",2,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",2,"yes","yes","bad"
"<0",24,"existing paid","furniture/equipment",2359,"100<=X<500","unemployed",1,"male div/sep","none",1,"life insurance",33,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",13.5000986952966,"existing paid","new car",732.75037833197,"100<=X<500","<1",4,"male div/sep","none",2.49996710156779,"no known property",31.4999013047034,"stores","own",1,"unemp/unskilled non res",NA,"none","yes","bad"
"0<=X<200",48,"existing paid","radio/tv",10155.342027917,"<100","4<=X<7",2.73894980341522,"male div/sep","none",3.15929986894348,"life insurance",33.5354491481326,"stores","for free",2.15929986894348,"skilled",1.57964993447174,"yes","yes","bad"
"<0",18,"existing paid","furniture/equipment",NA,"<100","unemployed",4,"female div/dep/mar","none",2,"car",33,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",42,"existing paid","radio/tv",7174,"no known savings","4<=X<7",4,"female div/dep/mar","none",3,"car",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",27.9630303482292,"existing paid","furniture/equipment",3346.32101011608,"<100","<1",4,"male mar/wid","none",2,"car",35.3672221807899,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",51.9198149015525,"delayed previously","domestic appliance",15381.2803948015,"500<=X<10000","1<=X<4",2.32665124179604,"male mar/wid","none",2.65330248359208,"car",35.0860959464535,"bank","for free",1.32665124179604,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",18,"existing paid","radio/tv",1345,"<100","1<=X<4",4,"male mar/wid","none",3,"real estate",26,"bank","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",24.2189097771403,"existing paid","retraining",12579.6020018871,"500<=X<10000","<1",3.94527255571492,"female div/dep/mar","none",2.03648496285672,"no known property",44.0547274442851,"stores","for free",1,"high qualif/self emp/mgmt",1.01824248142836,"yes","yes","bad"
"0<=X<200",48,"no credits/all paid","other",18424,"<100","1<=X<4",1,"female div/dep/mar","none",2,NA,32,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","no","bad"
"0<=X<200",32.3853544445933,"critical/order existing credit","other",8365.72448722096,"<100","4<=X<7",2.39755907409888,"male single","none",2.79511814819776,"life insurance",48.2048818518022,"stores","for free",1,"skilled",1,"none","yes","bad"
"<0",18,"existing paid","used car",7511,"no known savings",">=7",1,"male single","none",4,"life insurance",51,"stores","for free",1,"skilled",2,"yes","yes","bad"
">=200",17.5426604795092,"delayed previously","domestic appliance",2579.61585116439,"500<=X<10000","<1",4,"male single","none",1.61585116438991,"real estate",37.9268093151193,"bank","own",1,"unskilled resident",2,"none","yes","bad"
"<0",12,"existing paid","education",795,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",53,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",25.8684798563478,"existing paid","furniture/equipment",2373.63642554139,"100<=X<500",">=7",1.93423992817388,"female div/dep/mar","none",1.93423992817388,"life insurance",29.8858669060871,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",12,"existing paid","furniture/equipment",1281.53445123593,"<100","1<=X<4",2.05819359550844,"female div/dep/mar","none",3.82541921347467,"car",20.9892911236435,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",28.3097557494896,"existing paid","furniture/equipment",4821.84847521818,"<100","4<=X<7",2.17957315622873,"male single","co applicant",2.82042684377127,"car",31.3591463124575,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",11.7347753299031,"existing paid","furniture/equipment",890.652246700969,"<100","<1",4,"male mar/wid","none",3.73477532990306,"car",40.0275095429779,"bank","own",1,"unemp/unskilled non res",1.91159177663435,"none","yes","bad"
"0<=X<200",40.2707317376009,"existing paid","new car",14219.9084007879,"<100","<1",2.90392954097783,"male single","none",2,"life insurance",25.5385727213038,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",30,"critical/order existing credit","new car",5234,"<100","unemployed",4,"male mar/wid","none",2,"car",28,"stores","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"<0",29.4000906770288,"existing paid","furniture/equipment",2409.29950127634,"<100","4<=X<7",4,"female div/dep/mar","none",4,"real estate",24.1998186459424,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",12,"existing paid","new car",759,"<100","4<=X<7",4,"male single","none",2,"real estate",26,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",39.4810869180558,"existing paid","education",6330.40575370268,">=1000","<1",4,"male single","none",4,"life insurance",34.4763985366205,"stores","for free",1,"skilled",1,"none","yes","bad"
"0<=X<200",24,"critical/order existing credit","furniture/equipment",4774.39156525588,"<100","4<=X<7",2,"male div/sep","guarantor",3.52603005856944,"car",27.8438196485833,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"<0",48,"existing paid","furniture/equipment",3927.69553942209,"<100","1<=X<4",4,"male mar/wid","none",3.61123993201025,"no known property",44.444959728041,"bank","for free",1,"skilled",1.80561996600513,"none","yes","bad"
"<0",36,"existing paid","radio/tv",2302,"<100",NA,4,"male div/sep","none",4,"car",31,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",24,"all paid","new car",1193,"<100","unemployed",1,"female div/dep/mar","co applicant",4,"no known property",29,"stores","rent",2,"unemp/unskilled non res",1,"none","yes","bad"
"<0",44.1770396610703,"existing paid","repairs",4602.76993980229,"<100","<1",2.84070998587793,"male single","none",3.84070998587793,"life insurance",28.7787004236621,"stores","for free",2.15929001412207,"high qualif/self emp/mgmt",1.84070998587793,"none","yes","bad"
"<0",30.1399959826617,"existing paid","new car",3999.73286890792,"<100","1<=X<4",3.15285685590441,"male single","none",2.15285685590441,"car",43.3185745850515,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
NA,23.7094531760299,"existing paid","radio/tv",1824.16218729588,"<100",">=7",3.90315105867663,"male mar/wid","none",2,"car",29.5157552933831,"stores","own",1.09684894132337,"high qualif/self emp/mgmt",1.90315105867663,"none","yes","bad"
"0<=X<200",19.3752405484132,"delayed previously","new car",1332.22920675807,"<100",">=7",3.22920675806887,"male single","none",1.61460337903443,"life insurance",34.9066709597231,"stores","for free",1.61460337903443,"skilled",1.61460337903443,"none","yes","bad"
"<0",NA,"existing paid","new car",1381.46936645041,">=1000","1<=X<4",3.81225341983742,"female div/dep/mar","none",2,"life insurance",34.1551403892684,"stores","own",1,"skilled",NA,"none","yes","bad"
"no checking",10,"existing paid","new car",1309,"no known savings","1<=X<4",4,"male single","guarantor",NA,"life insurance",27,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"no checking",48,"existing paid","business",3914,"no known savings","1<=X<4",4,"male div/sep","none",2,"real estate",38,"bank","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",48,"existing paid","radio/tv",10961,">=1000","4<=X<7",1,"male single","co applicant",2,"no known property",27,"bank","own",2,"skilled",1,"yes","yes","bad"
">=200",46.40638720266,"existing paid","business",3899.39188269105,">=1000","1<=X<4",4,"female div/dep/mar","none",1.867198933555,"no known property",38.53120426578,"bank","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",32.3853544445933,"critical/order existing credit","other",8365.72448722096,"<100","4<=X<7",2.39755907409888,"male single","none",2.79511814819776,"life insurance",48.2048818518022,"stores","for free",1,"skilled",1,"none","yes","bad"
"0<=X<200",12,"delayed previously","new car",674.844271223468,"<100","1<=X<4",2.34426199242482,"male div/sep","none",3.17213099621241,"car",24.8278690037876,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",21.0482425917917,"critical/order existing credit","other",2543.41024580562,"500<=X<10000","1<=X<4",NA,"male single","none",1.60321617278611,"life insurance",26.9678382721389,"stores","own",1.60321617278611,"unskilled resident",1.39678382721389,"none","yes","bad"
"<0",22.8735205190245,"existing paid","new car",1381.46936645041,">=1000","1<=X<4",3.81225341983742,"female div/dep/mar","none",2,"life insurance",34.1551403892684,"stores","own",1,"skilled",1,"none","yes","bad"
">=200",18,"existing paid","radio/tv",2100,"<100","1<=X<4",4,"male single","co applicant",2,"real estate",37,"","own",1,"skilled",1,"none","yes","bad"
"<0",12,"existing paid","furniture/equipment",7865,"<100",">=7",4,"male single","none",4,"no known property",53,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",24,"existing paid","new car",1285,"no known savings","4<=X<7",4,NA,"none",4,"no known property",32,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",24,"delayed previously","new car",1333,"<100","unemployed",4,"male single","none",2,"real estate",43,"stores","for free",2,"skilled",2,"none","yes","bad"
"0<=X<200",23.7032184356891,"existing paid","domestic appliance",3927.08819906914,"<100","1<=X<4",NA,"male mar/wid","none",2,"car",34.0768774208186,"stores","own",1,"skilled",1.72526820297409,"yes","yes","bad"
">=200",30.0220177602493,"existing paid","furniture/equipment",3347.00733925342,"<100","4<=X<7",4,"male div/sep","none",2,"car",33.4798170531048,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",45.6605360102323,"existing paid","new car",3906.24067277496,"<100","1<=X<4",4,"male mar/wid","none",3.41513400255809,"life insurance",45.2201786700774,"stores","for free",1,"skilled",1.80504466751936,"none","yes","bad"
">=200",16.765965990049,"critical/order existing credit","radio/tv",1551.42552550746,"<100","<1",4,"male single","guarantor",4,"life insurance",42.6879211923734,"bank","for free",1.60283616749592,"skilled",1.60283616749592,"none","yes","bad"
NA,40.4067423548865,NA,"new car",14264.568248947,"<100","<1",4,"male single","none",2,"no known property",51.4915720563919,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
">=200",18.9302497003665,"no credits/all paid","business",4156.47271107997,"<100","1<=X<4",2.15504161672774,"male single","none",2.31008323345549,"car",33.9844589825393,"stores","own",2,"skilled",2,"none","yes","bad"
"<0",48,"existing paid","domestic appliance",3051,"<100","1<=X<4",3,"male single","none",4,"car",54,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",11.4063277470802,"existing paid","new car",NA,"<100","1<=X<4",2.39578150194653,"male mar/wid",NA,3,"car",25.5936722529198,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",13.6059785611812,"critical/order existing credit","furniture/equipment",1272.36412863291,"100<=X<500","1<=X<4",2,"male div/sep","none",2.92934762587922,"car",22.6766309353019,"stores","rent",1,"skilled",1,"none","yes","bad"
"0<=X<200",35.1372881247609,"existing paid","business",4287.99133708296,"100<=X<500","1<=X<4",3.71459510417995,"female div/dep/mar","none",4,"car",25.4291902083599,"stores","rent",1.71459510417995,"unemp/unskilled non res",1,"none","yes","bad"
"0<=X<200",18,"existing paid","used car",12976,"<100","unemployed",3,"female div/dep/mar","none",4,"no known property",38,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
NA,24,"existing paid","new car",1285,"no known savings","4<=X<7",4,"female div/dep/mar","none",4,"no known property",32,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",18,"existing paid","radio/tv",1882,"<100","1<=X<4",4,"female div/dep/mar","none",4,"car",25,"bank","rent",2,"skilled",1,"none","yes","bad"
">=200",11.9874941250881,"existing paid","education",719.108384249236,"<100","<1",3.99583137502937,"male mar/wid","none",3.99166275005874,"car",40.9458078753818,"bank","own",1,"unskilled resident",1.99583137502937,"none","yes","bad"
"<0",18,"all paid","new car",1442,"<100","4<=X<7",4,"male single","none",4,"no known property",32,"stores","for free",2,"unskilled resident",2,"none","yes","bad"
"0<=X<200",11.5315163833128,"existing paid","furniture/equipment",1229.58381559504,"<100","1<=X<4",3.35315163833128,"female div/dep/mar","none",3.64684836166872,"life insurance",NA,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",45,"existing paid","radio/tv",3031,"100<=X<500","1<=X<4",4,"male single","guarantor",4,"life insurance",21,"stores","rent",1,"skilled",1,"none","yes","bad"
NA,21,"all paid","new car",1647,"no known savings","1<=X<4",4,"male single","none",2,NA,40,"stores","own",NA,"unskilled resident",2,"none","yes","bad"
"0<=X<200",40.2707317376009,"existing paid","new car",14219.9084007879,"<100","<1",2.90392954097783,"male single","none",2,"life insurance",25.5385727213038,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",14.1620705712316,"existing paid","new car",1223.67585885754,"<100","1<=X<4",4,NA,"none",2.36034509520527,NA,23.6396549047947,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"0<=X<200",24,"existing paid","new car",1246,"<100","<1",4,"male single","none",2,"real estate",23,"","own",1,"unskilled resident",1,"none","yes","bad"
"<0",42,"existing paid","radio/tv",3965,"<100","<1",4,"male single","none",3,"car",34,"stores","own",1,"skilled",1,"none","yes","bad"
NA,33.97645788075,"delayed previously","new car",4484.584449272,"<100","1<=X<4",3.662742980125,"male single","none",2.1686285099375,"car",30.72159827825,"stores","own",2.1686285099375,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",12,"delayed previously","new car",NA,"<100","4<=X<7",4,"male mar/wid","none",2.08289132169335,"no known property",26.5802392518535,"bank","own",1,"skilled",1.08289132169335,"none","yes","bad"
"<0",22.6856000764313,"critical/order existing credit","other",1653.74240030573,NA,"4<=X<7",4,"male div/sep","none",2,"car",33.8194663864185,"stores","own",1.43813330785623,"unskilled resident",1.43813330785623,"none","yes","bad"
"<0",15.0731411951476,"existing paid","furniture/equipment",2814.24340031751,"<100","4<=X<7",1.51219019919126,"male div/sep","none",1.48780980080874,"no known property",29.6097117927214,"bank","own",1,"unemp/unskilled non res",1.51219019919126,"none","yes","bad"
"<0",12,"existing paid","furniture/equipment",7865,NA,NA,4,"male single","none",4,"no known property",53,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",48,"no credits/all paid","furniture/equipment",7119,"<100","1<=X<4",3,"male single","none",4,"no known property",53,"stores","for free",2,"skilled",2,"none","yes","bad"
"<0",12,"existing paid","new car",1228,"<100","1<=X<4",4,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",30,"critical/order existing credit","new car",5234,"<100","unemployed",4,"male mar/wid","none",2,"car",28,"stores","own",2,"high qualif/self emp/mgmt",1,"none","yes","bad"
"0<=X<200",18,"critical/order existing credit","furniture/equipment",1928,"<100","<1",2,"male single","none",2,"real estate",31,"stores","own",2,"unskilled resident",1,"none","yes","bad"
">=200",12,"all paid","business",609,"<100","<1",4,"female div/dep/mar","none",1,"real estate",26,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"<0",24,"existing paid","radio/tv",1938,"<100","<1",4,"male div/sep","none",3,"life insurance",32,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",23.817221202685,"existing paid","furniture/equipment",4111.30991471409,NA,"<1",2.96953686711416,"male single","guarantor",3.96953686711416,"life insurance",23.578799524831,"bank","own",1.96953686711416,"skilled",1.96953686711416,"none","yes","bad"
">=200",17.7605516042217,"critical/order existing credit","radio/tv",1550.67958629683,"<100","<1",4,"male single","guarantor",4,"life insurance",40.1185750224273,"bank","for free",1.51995403298152,NA,1.51995403298152,"none","yes","bad"
"0<=X<200",11.4785747769629,"all paid","retraining",5133.58995329067,"<100","<1",2.18359813162688,"female div/dep/mar","none",3.81640186837312,"life insurance",69.8690420383951,"bank","for free",1,"high qualif/self emp/mgmt",1.90820093418656,"none","yes","bad"
">=200",31.8820974985779,"existing paid","new car",6759.61179025014,">=1000","1<=X<4",2.46273658328593,"male div/sep","none",3.07452683342814,"car",50.8787464184206,"stores","own",1.53726341671407,"skilled",1,"none","yes","bad"
"0<=X<200",48,"existing paid","business",15672,"<100","1<=X<4",2,"male single","none",2,"car",23,"stores","own",1,"skilled",1,"yes","yes","bad"
"0<=X<200",19.0600654277097,"critical/order existing credit","other",1218.8816285005,"100<=X<500","<1",2.76501635692742,"male mar/wid","none",2.76501635692742,"no known property",NA,"bank","own",2,"skilled",NA,"none","yes","bad"
"0<=X<200",18.9478615499281,"delayed previously","new car",1039.15641535022,">=1000","1<=X<4",4,"female div/dep/mar","none",2.31595384997604,"life insurance",35.3696538748203,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",28.3303085465066,"delayed previously","domestic appliance",4260.24581576225,"500<=X<10000","1<=X<4",1,"male div/sep","none",4,"life insurance",29.7451098772682,NA,"own",2.51885460594371,"unemp/unskilled non res",1,"none","yes","bad"
"<0",28.2055512279953,"critical/order existing credit","new car",12540.2123061769,"no known savings","4<=X<7",2.55888975440094,"male single","none",4,"no known property",33.3625905730645,"stores","for free",1,NA,1,"yes","yes","bad"
NA,16.968986309603,"existing paid","new car",1346.56278357152,"<100","<1",3.46873424602647,"male div/sep","none",3.06253150794707,"car",29.2186082142382,"stores","own",1.46873424602647,"skilled",1,"yes","yes","bad"
"no checking",15,"existing paid","education",NA,"100<=X<500","1<=X<4",3,"male single","none",2,"life insurance",40,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",14.3929254086688,"existing paid","new car",1533.60117909856,"<100","<1",NA,"male mar/wid","guarantor",1,"no known property",30.9764180288959,"stores","own",1,"skilled",1.39882090144479,"none","yes","bad"
"<0",18,"existing paid","domestic appliance",1217,"<100","1<=X<4",4,"male mar/wid","none",3,"real estate",NA,"stores","own",1,"unskilled resident",1,"yes","yes","bad"
"<0",14.1620705712316,"existing paid","new car",1223.67585885754,"<100","1<=X<4",4,"female div/dep/mar","none",2.36034509520527,"life insurance",23.6396549047947,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"<0",12.1599140243087,"critical/order existing credit","furniture/equipment",1207.23987103646,"<100","<1",4,"female div/dep/mar","none",3.48667383130761,"car",28.8400859756913,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"male div/sep","none",4,"real estate",31,"stores","own",2,"skilled",1,"yes","yes","bad"
"0<=X<200",46.5476361763221,"existing paid","education",6315.80155190227,"<100","4<=X<7",4,"male single","none",4,"life insurance",37.0674665979848,"stores","for free",1,"skilled",1,"none","yes","bad"
"no checking",18,"delayed previously","business",2169,"<100","1<=X<4",4,"male mar/wid","none",2,"car",28,"stores","own",1,"skilled",1,"yes","yes","bad"
"0<=X<200",24.3506681907921,"existing paid","business",4242.55852529241,NA,"1<=X<4",1,"male mar/wid","none",4,"no known property",35.493479279967,"stores","own",2.96103686768977,"unemp/unskilled non res",1,"none","yes","bad"
"<0",NA,"existing paid","new car",1285,"no known savings","4<=X<7",4,"female div/dep/mar","none",4,"no known property",32,"stores","rent",1,"skilled",1,"none","yes","bad"
"0<=X<200",15,"delayed previously","repairs",1512,">=1000","1<=X<4",3,"male mar/wid","none",3,"life insurance",61,"","own",2,"skilled",1,"none","yes","bad"
"<0",12,"existing paid","furniture/equipment",1282,"<100","1<=X<4",2,NA,"none",4,"car",20,"stores","rent",1,"skilled",1,"none","yes","bad"
NA,45.6105823996265,"critical/order existing credit","retraining",11644.1601322751,"100<=X<500","1<=X<4",1.86725457775703,"female div/dep/mar","none",3.60176373327109,"car",25.3274542224297,"bank","own",1.86725457775703,"unskilled resident",1,"none","yes","bad"
"<0",45,"no credits/all paid","business",11816,"<100",">=7",2,"male single","none",4,"car",29,"stores","rent",2,"skilled",1,"none","yes","bad"
"0<=X<200",24,"no credits/all paid","business",4241,"<100","1<=X<4",1,"male single","none",4,"real estate",36,"stores","own",3,"unskilled resident",1,"yes","yes","bad"
"<0",14.7729871042152,"existing paid","new car",903.466233880269,"no known savings","1<=X<4",4,"male div/sep","none",2,"car",24.3864935521076,"bank",NA,1,"skilled",1,"none","yes","bad"
"<0",24,"all paid","new car",1365.17530976597,"no known savings","<1",4,"male mar/wid","none",2.68803001017504,"car",38.4401500508752,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
NA,18,"existing paid","furniture/equipment",2462,"<100","1<=X<4",2,"male single","none",2,"car",22,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",19.4510172799017,"delayed previously","new car",1440.48367242663,"500<=X<10000","4<=X<7",3.39346897065355,"female div/dep/mar","none",3.69673448532678,"car",24.8195930880393,"stores","own",1.69673448532678,"skilled",1,"none","yes","bad"
"<0",36,"delayed previously","other",9351.66914158109,"<100","4<=X<7",2.45066559542506,"male single","none",1.67599839313758,"car",24,"stores","own",1.22533279771253,"skilled",1,"yes","yes","bad"
"no checking",30.5693556827893,"delayed previously","furniture/equipment",4520.92687271691,"<100","1<=X<4",3.09489261379822,"male single","none",2.45255369310089,"car",38.6715034068249,"stores","own",2.45255369310089,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",12,"existing paid","new car",2579,"<100","<1",4,"male single","none",1,"real estate",33,"stores","own",1,"unskilled resident",2,"none","yes","bad"
"0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"male div/sep","none",4,"real estate",31,"stores","own",2,"skilled",1,"yes","yes","bad"
"<0",23.3615317470007,"existing paid","furniture/equipment",1284.29059083,"no known savings","1<=X<4",4,"female div/dep/mar","none",3.85811816600014,"life insurance",31.4324726640006,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",18,"existing paid","new car",976,"<100","<1",1,"female div/dep/mar",NA,2,"car",23,"stores","own",1,"unskilled resident",1,NA,"yes","bad"
"0<=X<200",51.9198149015525,"delayed previously",NA,15381.2803948015,"500<=X<10000","1<=X<4",2.32665124179604,NA,"none",2.65330248359208,"car",35.0860959464535,"bank","for free",1.32665124179604,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",38.1433300724975,"critical/order existing credit","domestic appliance",4290.2579941305,"500<=X<10000","1<=X<4",1.68577734299967,"female div/dep/mar","none",4,"car",23.3428886714998,"stores","own",1.65711132850017,"skilled",1,"none","yes","bad"
"0<=X<200",18,"existing paid","new car",1042,"no known savings","1<=X<4",4,"female div/dep/mar","none",2,"life insurance",33,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",19.8182312258015,"existing paid","other",3169.69641797855,"<100","1<=X<4",2.60607707526716,"female div/dep/mar","none",1.69696146236642,"no known property",24.9091156129007,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",18.9478615499281,"delayed previously","new car",1039.15641535022,">=1000","1<=X<4",4,"female div/dep/mar","none",2.31595384997604,"life insurance",35.3696538748203,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",11.8593105966263,"existing paid","furniture/equipment",900.844136420242,">=1000","1<=X<4",4,"male div/sep","none",1.95310353220878,"car",23.3282752745385,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"male div/sep","none",4,"real estate",31,"stores","own",2,"skilled",1,"yes","yes","bad"
"0<=X<200",24,"critical/order existing credit","business",1935,"<100",">=7",4,"male div/sep","none",4,"real estate",31,"stores","own",2,"skilled",1,"yes","yes","bad"
"no checking",36,"existing paid","furniture/equipment",10974,"<100","unemployed",4,"female div/dep/mar","none",2,"car",26,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",24,"existing paid","radio/tv",2439,"<100","<1",4,"female div/dep/mar","none",4,"real estate",35,"stores","own",1,"skilled",1,"yes","yes","bad"
"<0",12,"existing paid","new car",1228,"<100","1<=X<4",4,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",15,"existing paid","new car",2631,"100<=X<500","1<=X<4",2,"female div/dep/mar","none",4,"car",28,"stores","rent",2,"skilled",1,"yes","yes","bad"
"0<=X<200",34.8939979540118,"existing paid","furniture/equipment",3445.07833162834,"500<=X<10000","<1",3.63133265133726,"male mar/wid","guarantor",2.36866734866274,"car",38.1289928390412,"stores","own",1,"skilled",1.81566632566863,"none","yes","bad"
"0<=X<200",36,"existing paid","repairs",2384,"<100","<1",4,"male single","none",1,"no known property",33,"stores","rent",1,"unskilled resident",1,"none","yes","bad"
"no checking",48,"critical/order existing credit","used car",11590,"100<=X<500","1<=X<4",2,"female div/dep/mar","none",4,"car",24,"bank","rent",2,"unskilled resident",1,"none","yes","bad"
"<0",20.6037767370355,"delayed previously","new car",996.830213896284,"<100","<1",2.30188836851777,"female div/dep/mar","none",2.86792557901185,"life insurance",33.8490697376481,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
">=200",30.0220177602493,"existing paid","furniture/equipment",3347.00733925342,"<100","4<=X<7",4,"male div/sep","none",2,"car",33.4798170531048,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
">=200",30.0220177602493,"existing paid","furniture/equipment",3347.00733925342,"<100","4<=X<7",4,"male div/sep","none",2,"car",33.4798170531048,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",42.5915375314803,"existing paid","radio/tv",1843.99647397145,NA,"1<=X<4",3.89964739714501,"male mar/wid","none",3.79929479429002,"no known property",23.20070520571,"stores","for free",1.10035260285499,NA,1,"yes","yes","bad"
"0<=X<200",36,"existing paid","business",NA,"<100",">=7",4,"male single","none",4,"no known property",56.0306528830821,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",16.9782056120943,"existing paid","new car",906.222757015118,"no known savings","4<=X<7",4,"male div/sep","none",2,"car",25.4891028060472,"bank","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",38.1943919652877,"delayed previously","furniture/equipment",NA,"<100","1<=X<4",3.63426800578539,"male mar/wid","none",2.18286599710731,"car",29.1828659971073,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"<0",24,"all paid","new car",1355.28210841438,"no known savings","<1",4,"male single","none",2.80586488674114,NA,39.4175946602234,"stores","own",1.19413511325886,"high qualif/self emp/mgmt",1.19413511325886,"none","yes","bad"
"<0",18,"existing paid","domestic appliance",1217,"<100","1<=X<4",4,"male mar/wid","none",3,"real estate",47,"stores","own",1,"unskilled resident",1,"yes",NA,"bad"
"0<=X<200",36.1538340008952,"critical/order existing credit","furniture/equipment",5186.82060599314,"<100","<1",3.3162406665672,"male div/sep","none",2.3418796667164,"car",28.6837593334328,NA,"own",1.6581203332836,"high qualif/self emp/mgmt",1,"none","yes","bad"
"no checking",9,"existing paid","furniture/equipment",1980,"<100","<1",2,"female div/dep/mar","co applicant",2,"car",19,"stores","rent",2,"skilled",1,"none","yes","bad"
